ano,mes,sigla_uf,tipo_consumo,numero_consumidores,consumo
2004,1,RO,Total,,112812
2004,1,AC,Total,,34840.05
2004,1,AM,Total,,274773
2004,1,RR,Total,,31695.63
2004,1,PA,Total,,1011353.04
2004,1,AP,Total,,43084
2004,1,TO,Total,,65876.62
2004,1,MA,Total,,737033.3
2004,1,PI,Total,,131052
2004,1,CE,Total,,518714
2004,1,RN,Total,,268614.11
2004,1,PB,Total,,236448.97
2004,1,PE,Total,,643102.49
2004,1,AL,Total,,285489
2004,1,SE,Total,,192207.02
2004,1,BA,Total,,1444451.49
2004,1,MG,Total,,3732811.24
2004,1,ES,Total,,607655.14
2004,1,RJ,Total,,2612753.07
2004,1,SP,Total,,7976304.95
2004,1,PR,Total,,1596274.29
2004,1,SC,Total,,1132926.27
2004,1,RS,Total,,1780912.48
2004,1,MS,Total,,272917.41
2004,1,MT,Total,,292173.45
2004,1,GO,Total,,630624
2004,1,DF,Total,,311459
2004,2,RO,Total,,105806
2004,2,AC,Total,,33050.33
2004,2,AM,Total,,278429.72
2004,2,RR,Total,,30802.28
2004,2,PA,Total,,967109.34
2004,2,AP,Total,,28944
2004,2,TO,Total,,63306.92
2004,2,MA,Total,,694591.8
2004,2,PI,Total,,110758
2004,2,CE,Total,,469181.31
2004,2,RN,Total,,233950.88
2004,2,PB,Total,,226289.39
2004,2,PE,Total,,612231.66
2004,2,AL,Total,,266555
2004,2,SE,Total,,182026.13
2004,2,BA,Total,,1344183.83
2004,2,MG,Total,,3582369.94
2004,2,ES,Total,,583260.07
2004,2,RJ,Total,,2630033.87
2004,2,SP,Total,,7919049.63
2004,2,PR,Total,,1635576.04
2004,2,SC,Total,,1230305.38
2004,2,RS,Total,,1824346.44
2004,2,MS,Total,,270613.42
2004,2,MT,Total,,296942.39
2004,2,GO,Total,,602529
2004,2,DF,Total,,285928
2004,3,RO,Total,,106668
2004,3,AC,Total,,33858.03
2004,3,AM,Total,,270420
2004,3,RR,Total,,30275.52
2004,3,PA,Total,,1022952.89
2004,3,AP,Total,,42451
2004,3,TO,Total,,67551.25
2004,3,MA,Total,,743086.2
2004,3,PI,Total,,112344
2004,3,CE,Total,,508966.11
2004,3,RN,Total,,257966.1
2004,3,PB,Total,,242215.12
2004,3,PE,Total,,658774.05
2004,3,AL,Total,,259855
2004,3,SE,Total,,195611.08
2004,3,BA,Total,,1393925.45
2004,3,MG,Total,,3605412.32
2004,3,ES,Total,,599525
2004,3,RJ,Total,,2582060.82
2004,3,SP,Total,,8116797.54
2004,3,PR,Total,,1656643.76
2004,3,SC,Total,,1300745.9
2004,3,RS,Total,,1941380.74
2004,3,MS,Total,,278720.54
2004,3,MT,Total,,332886.99
2004,3,GO,Total,,622783
2004,3,DF,Total,,300453
2004,4,RO,Total,,107580
2004,4,AC,Total,,34961.02
2004,4,AM,Total,,279044.7
2004,4,RR,Total,,33035.03
2004,4,PA,Total,,1032233.03
2004,4,AP,Total,,40234
2004,4,TO,Total,,71774.33
2004,4,MA,Total,,728379
2004,4,PI,Total,,123168
2004,4,CE,Total,,523200.12
2004,4,RN,Total,,264504.74
2004,4,PB,Total,,235364.14
2004,4,PE,Total,,674646.39
2004,4,AL,Total,,289626
2004,4,SE,Total,,204065.06
2004,4,BA,Total,,1419046.03
2004,4,MG,Total,,3668628.56
2004,4,ES,Total,,583307.17
2004,4,RJ,Total,,2626340.44
2004,4,SP,Total,,8623046.79
2004,4,PR,Total,,1691910.14
2004,4,SC,Total,,1215161.08
2004,4,RS,Total,,1966239.92
2004,4,MS,Total,,290653.111
2004,4,MT,Total,,353039.55
2004,4,GO,Total,,644083
2004,4,DF,Total,,322911
2004,5,RO,Total,,112115.8
2004,5,AC,Total,,29766.47
2004,5,AM,Total,,283866
2004,5,RR,Total,,28944.36
2004,5,PA,Total,,1057805.52
2004,5,AP,Total,,38522
2004,5,TO,Total,,74458.77
2004,5,MA,Total,,751060.16
2004,5,PI,Total,,121261
2004,5,CE,Total,,501515
2004,5,RN,Total,,258761.56
2004,5,PB,Total,,234298.81
2004,5,PE,Total,,649438.38
2004,5,AL,Total,,284219
2004,5,SE,Total,,186831.22
2004,5,BA,Total,,1436199.39
2004,5,MG,Total,,3692795.02
2004,5,ES,Total,,586400.86
