ano,aproveitado_mw,estimado_mw,total_mw
1970,36.977,42.370,79.347
1971,36.977,42.370,79.347
1972,36.977,42.370,79.347
1973,36.977,42.370,79.347
1974,36.977,42.370,79.347
1975,36.977,42.370,79.347
1976,36.977,42.370,79.347
1977,36.977,42.370,79.347
1978,36.977,42.370,79.347
1979,36.977,42.370,79.347
1980,66.470,40.100,106.570
1981,66.470,40.100,106.570
1982,66.470,40.100,106.570
1983,66.470,40.100,106.570
1984,66.470,40.100,106.570
1985,66.470,40.100,106.570
1986,75.766,51.778,127.544
1987,75.766,51.778,127.544
1988,75.766,51.778,127.544
1989,75.766,51.778,127.544
1990,75.766,51.778,127.544
1991,77.200,51.800,129.000
1992,77.200,51.800,129.000
1993,82.686,51.800,134.486
1994,82.686,51.800,134.486
1995,92.880,50.500,143.380
1996,92.880,50.500,143.380
1997,92.880,50.500,143.380
1998,92.880,50.500,143.380
1999,92.880,50.500,143.380
2000,92.880,50.500,143.380
2001,92.880,50.500,143.380
2002,92.880,50.500,143.380
2003,92.880,50.500,143.380
2004,92.880,50.500,143.380
2005,92.880,50.500,143.380
2006,102.080,31.769,133.849
2007,102.080,31.769,133.849
2008,102.080,31.769,133.849
2009,102.080,31.769,133.849
2010,102.080,31.769,133.849
2011,108.778,28.096,136.874
2012,108.160,26.577,134.737
2013,108.634,26.534,135.168
2014,110.282,25.702,135.983
2015,110.733,25.373,136.105
2016,111.092,24.002,135.094
2017,111.092,24.002,135.094
2018,111.442,23.990,135.432
