ano,petróleo_10^3m3,gas_natural_10^6m3
1975,120.730,25.936
1976,135.900,34.135
1977,173.940,39.455
1978,178.970,44.389
1979,198.420,45.082
1980,209.540,52.544
1981,234.640,60.287
1982,273.210,72.334
1983,294.100,81.606
1984,320.520,83.892
1985,344.694,92.734
1986,374.958,95.834
1987,405.538,105.343
1988,447.730,108.900
1989,438.779,116.008
1990,717.516,172.018
1991,766.055,181.523
1992,789.490,192.534
1993,792.100,191.071
1994,854.468,198.761
1995,989.385,207.964
1996,1.062.143,223.562
1997,1.129.755,227.650
1998,1.169.710,225.944
1999,1.296.273,231.233
2000,1.345.746,220.999
2001,1.349.039,219.841
2002,1.558.757,244.547
2003,1.685.518,245.340
2004,1.787.500,326.084
2005,1.871.640,306.395
2006,1.936.665,347.903
2007,2.006.970,364.991
2008,2.035.200,364.236
2009,2.044.091,366.467
2010,2.223.640,416.952
2011,2.271.490,434.376
2012,2.309.100,436.430
2013,2.340.100,433.958
2014,2.572.700,471.148
2015,2.072.100,429.457
2016,2.013.750,378.263
2017,2.040.610,369.918
2018,2.104.760,368.450
2019,2.021.190,364.582
2020,1.895.926,338.049
2021,2.105.446,378.653
2022,2.362.179,406.525
