data,subsistema,energia_armazenada_maxima,energia_armazenada_verificada,proporcao_energia_armazenada_verificada
2000-01-01,Sul,13976,7094,50.75999832
2000-01-02,Sul,13976,7084,50.68999863
2000-01-03,Sul,13976,7016,50.20000076
2000-01-04,Sul,13976,6980,49.93999863
2000-01-05,Sul,13976,6946,49.70000076
2000-01-06,Sul,13976,6914,49.47000122
2000-01-07,Sul,13976,6868,49.13999939
2000-01-08,Sul,13976,6832,48.88999939
2000-01-09,Sul,13976,6813,48.75
2000-01-10,Sul,13976,6773,48.45999908
2000-01-11,Sul,13976,6756,48.34000015
2000-01-12,Sul,13976,6765,48.40999985
2000-01-13,Sul,13976,6745,48.25999832
2000-01-14,Sul,13976,6738,48.20999908
2000-01-15,Sul,13976,6762,48.38000107
2000-01-16,Sul,13976,6815,48.75999832
2000-01-17,Sul,13976,6798,48.63999939
2000-01-18,Sul,13976,6750,48.29999924
2000-01-19,Sul,13976,6706,47.97999954
2000-01-20,Sul,13976,6681,47.81000137
2000-01-21,Sul,13976,6631,47.45000076
2000-01-22,Sul,13976,6591,47.15999985
2000-01-23,Sul,13976,6597,47.20000076
2000-01-24,Sul,13976,6586,47.13000107
2000-01-25,Sul,13976,6575,47.04999924
2000-01-26,Sul,13976,6551,46.86999893
2000-01-27,Sul,13976,6517,46.63000107
2000-01-28,Sul,13976,6476,46.34000015
2000-01-29,Sul,13976,6465,46.25999832
2000-01-30,Sul,13976,6468,46.27999878
2000-01-31,Sul,13976,6471,46.29999924
2000-02-01,Sul,13976,6462,46.24000168
2000-02-02,Sul,13976,6439,46.06999969
2000-02-03,Sul,13976,6401,45.79999924
2000-02-04,Sul,13976,6344,45.38999939
2000-02-05,Sul,13976,6331,45.29999924
2000-02-06,Sul,13976,6353,45.45999908
2000-02-07,Sul,13976,6295,45.04000092
2000-02-08,Sul,13976,6220,44.50999832
2000-02-09,Sul,13976,6127,43.84000015
2000-02-10,Sul,13976,6060,43.36000061
2000-02-11,Sul,13976,5952,42.59000015
2000-02-12,Sul,13976,5892,42.15999985
2000-02-13,Sul,13976,5866,41.97000122
2000-02-14,Sul,13976,5786,41.40000153
2000-02-15,Sul,13976,5769,41.27999878
2000-02-16,Sul,13976,5792,41.43999863
2000-02-17,Sul,13976,5831,41.72000122
2000-02-18,Sul,13976,5859,41.91999817
2000-02-19,Sul,13976,5958,42.63000107
2000-02-20,Sul,13976,6046,43.25999832
2000-02-21,Sul,13976,6095,43.61000061
2000-02-22,Sul,13976,6131,43.86999893
2000-02-23,Sul,13976,6195,44.33000183
2000-02-24,Sul,13976,6227,44.56000137
2000-02-25,Sul,13976,6248,44.70999908
2000-02-26,Sul,13976,6310,45.15000153
2000-02-27,Sul,13976,6439,46.06999969
2000-02-28,Sul,13976,6487,46.41999817
2000-02-29,Sul,13976,6539,46.79000092
2000-03-01,Sul,13976,6661,47.65999985
2000-03-02,Sul,13976,6785,48.54999924
2000-03-03,Sul,13976,6899,49.36000061
2000-03-04,Sul,13976,7033,50.31999969
2000-03-05,Sul,13976,7164,51.25999832
2000-03-06,Sul,13976,7289,52.15999985
2000-03-07,Sul,13976,7445,53.27000046
2000-03-08,Sul,13976,7531,53.88999939
2000-03-09,Sul,13976,7591,54.31999969
2000-03-10,Sul,13976,7661,54.81999969
2000-03-11,Sul,13976,7731,55.31999969
2000-03-12,Sul,13976,7803,55.83000183
2000-03-13,Sul,13976,7841,56.11000061
2000-03-14,Sul,13976,7832,56.04000092
2000-03-15,Sul,13976,7850,56.16999817
2000-03-16,Sul,13976,7830,56.02999878
2000-03-17,Sul,13976,7790,55.74000168
2000-03-18,Sul,13976,7773,55.61999893
2000-03-19,Sul,13976,7799,55.79999924
2000-03-20,Sul,13976,7762,55.54000092
2000-03-21,Sul,13976,7710,55.16999817
2000-03-22,Sul,13976,7663,54.83000183
2000-03-23,Sul,13976,7596,54.34999847
2000-03-24,Sul,13976,7554,54.04999924
2000-03-25,Sul,13976,7537,53.93000031
2000-03-26,Sul,13976,7550,54.02000046
2000-03-27,Sul,13976,7525,53.84000015
2000-03-28,Sul,13976,7516,53.77999878
2000-03-29,Sul,13976,7489,53.59000015
2000-03-30,Sul,13976,7452,53.31999969
2000-03-31,Sul,13976,7404,52.97999954
2000-04-01,Sul,13976,7387,52.86000061
2000-04-02,Sul,13976,7383,52.83000183
2000-04-03,Sul,13976,7327,52.43000031
2000-04-04,Sul,13976,7264,51.97999954
2000-04-05,Sul,13976,7207,51.56999969
2000-04-06,Sul,13976,7119,50.93999863
2000-04-07,Sul,13976,7037,50.34999847
2000-04-08,Sul,13976,6980,49.93999863
2000-04-09,Sul,13976,6918,49.5
2000-04-10,Sul,13976,6816,48.77000046
2000-04-11,Sul,13976,6696,47.90999985
2000-04-12,Sul,13976,6596,47.20000076
2000-04-13,Sul,13976,6517,46.63000107
2000-04-14,Sul,13976,6399,45.79000092
2000-04-15,Sul,13976,6316,45.18999863
2000-04-16,Sul,13976,6287,44.99000168
2000-04-17,Sul,13976,6206,44.40999985
2000-04-18,Sul,13976,6183,44.24000168
2000-04-19,Sul,13976,6143,43.95999908
2000-04-20,Sul,13976,6100,43.65000153
2000-04-21,Sul,13976,6124,43.81999969
2000-04-22,Sul,13976,6125,43.83000183
2000-04-23,Sul,13976,6140,43.93000031
2000-04-24,Sul,13976,6075,43.47000122
2000-04-25,Sul,13976,5983,42.81000137
2000-04-26,Sul,13976,5878,42.06000137
2000-04-27,Sul,13976,5785,41.38999939
2000-04-28,Sul,13976,5671,40.58000183
2000-04-29,Sul,13976,5626,40.25999832
2000-04-30,Sul,13976,5607,40.11999893
2000-05-01,Sul,13976,5568,39.84000015
2000-05-02,Sul,13976,5494,39.31000137
2000-05-03,Sul,13976,5436,38.90000153
2000-05-04,Sul,13976,5385,38.52999878
2000-05-05,Sul,13976,5393,38.59000015
2000-05-06,Sul,13976,5437,38.90000153
2000-05-07,Sul,13976,5472,39.15000153
2000-05-08,Sul,13976,5435,38.88999939
2000-05-09,Sul,13976,5369,38.41999817
2000-05-10,Sul,13976,5312,38.00999832
2000-05-11,Sul,13976,5252,37.58000183
2000-05-12,Sul,13976,5180,37.06000137
2000-05-13,Sul,13976,5156,36.88999939
2000-05-14,Sul,13976,5141,36.79000092
2000-05-15,Sul,13976,5070,36.27999878
2000-05-16,Sul,13976,5007,35.83000183
2000-05-17,Sul,13976,4949,35.40999985
2000-05-18,Sul,13976,4881,34.93000031
2000-05-19,Sul,13976,4782,34.22000122
2000-05-20,Sul,13976,4727,33.81999969
2000-05-21,Sul,13976,4696,33.59999847
2000-05-22,Sul,13976,4634,33.15999985
2000-05-23,Sul,13976,4566,32.66999817
2000-05-24,Sul,13976,4507,32.25
2000-05-25,Sul,13976,4442,31.78000069
2000-05-26,Sul,13976,4393,31.43000031
2000-05-27,Sul,13976,4355,31.15999985
2000-05-28,Sul,13976,4341,31.05999947
2000-05-29,Sul,13976,4258,30.46999931
2000-05-30,Sul,13976,4193,30
2000-05-31,Sul,13976,4133,29.56999969
2000-06-01,Sul,14176,4071,28.71999931
2000-06-02,Sul,14176,3961,27.94000053
2000-06-03,Sul,14176,3938,27.78000069
2000-06-04,Sul,14176,3911,27.59000015
2000-06-05,Sul,14176,3874,27.32999992
2000-06-06,Sul,14176,3810,26.87999916
2000-06-07,Sul,14176,3765,26.55999947
2000-06-08,Sul,14176,3704,26.12999916
2000-06-09,Sul,14176,3685,25.98999977
2000-06-10,Sul,14176,3669,25.87999916
2000-06-11,Sul,14176,3637,25.65999985
2000-06-12,Sul,14176,3585,25.29000092
2000-06-13,Sul,14176,3551,25.04999924
2000-06-14,Sul,14176,3508,24.75
2000-06-15,Sul,14176,3446,24.30999947
2000-06-16,Sul,14176,3384,23.87000084
2000-06-17,Sul,14176,3363,23.71999931
2000-06-18,Sul,14176,3376,23.80999947
2000-06-19,Sul,14176,3440,24.27000046
2000-06-20,Sul,14176,3520,24.82999992
2000-06-21,Sul,14176,3589,25.31999969
2000-06-22,Sul,14176,3664,25.85000038
2000-06-23,Sul,14176,3722,26.26000023
2000-06-24,Sul,14176,3840,27.09000015
2000-06-25,Sul,14176,3822,26.95999908
2000-06-26,Sul,14176,3875,27.32999992
2000-06-27,Sul,14176,3926,27.69000053
2000-06-28,Sul,14176,3962,27.95000076
2000-06-29,Sul,14176,4005,28.25
2000-06-30,Sul,14176,4087,28.82999992
2000-07-01,Sul,14176,4182,29.5
2000-07-02,Sul,14176,4272,30.13999939
2000-07-03,Sul,14176,4363,30.78000069
2000-07-04,Sul,14176,4431,31.26000023
2000-07-05,Sul,14176,4486,31.63999939
2000-07-06,Sul,14176,4534,31.97999954
2000-07-07,Sul,14176,4555,32.13000107
